articul;category_path;name;txt;price;price_min;price_max;discount_formula;installation;gift_articul;gift_end_date;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Alfa_13303;"Внутреннее освещение/Люстры";"Alfa 13303 Chrome";"<p>Диаметр: 550 mm<br /> Высота: 270 mm<br /> 3 x E14 max 40W</p>";1492,34;1193,87;1417,72;;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;27;55;;55;;;;3;;;IP20;;Chrome;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13304;"Внутреннее освещение/Люстры";"Alfa 13304 Chrome";"<p>Диаметр: 550 mm<br /> Высота: 270 mm<br /> 4 x E14 max 40W</p>";1809,86;1447,89;1719,37;1%;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;27;55;;55;;;;4;;;IP20;;Chrome;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13372;"Внутреннее освещение/Люстры";"Alfa 13372 Drago";"<p>Диаметр: 550 mm<br /> Высота: 170 mm<br /> 2 x E27 max 60W</p>";1471,18;1176,94;1397,62;19%N;45;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;17;55;;55;;;;2;;;IP20;;Drago;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13564;"Внутреннее освещение/Люстры";"Alfa 13564 Eli";"<p>Диаметр: 610 mm<br /> Высота: 485-675 mm<br /> 4 x E14 max 40W</p>";1862,78;1490,22;1862,78;;45;;;Современные;Люстры;;;;;;;;;;;;;;;;;61;;;;4;;;IP20;;Eli;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13566;"Внутреннее освещение/Люстры";"Alfa 13566 Eli";"<p>Диаметр: 780 mm<br /> Высота: 485-675 mm<br /> 6 x E14 max 40W</p>";2233,22;1786,58;2121,56;24ip;45;Nowodvorski_6895;2016-11-01;Современные;Люстры;;;;;;;;;;;;;;;;;78;;;;6;;;IP20;;Eli;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13803;"Внутреннее освещение/Люстры";"Alfa 13803 Vincent";"<p>Диаметр: 580 mm<br /> Высота: 580 mm<br /> 3 x E27 max 60W</p>";1608,77;1287,02;1528,33;3%N;45;;;Классические;Люстры;;;;;;;;;;;;;;58;;58;58;;;;3;;;IP20;;Vincent;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13805;"Внутреннее освещение/Люстры";"Alfa 13805 Vincent";"<p>Диаметр: 580 mm<br /> Высота: 580 mm<br /> 5 x E27 max 60W</p>";1989,79;1591,83;1989,79;42N;45;;;Современные;Люстры;;;;;;;;;;;;;;58;;58;58;;;;5;;;IP20;;Vincent;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_1404;"Внутреннее освещение/Люстры";"Alfa 1404 Band";"<p>Диаметр: 740 mm<br /> Высота: 500 mm<br /> 2 x E27 max 60W</p>";1862,78;1490,22;1769,64;;;;;Современные;Люстры;;;;;;;;;;;;;;50;;;74;;;;2;;;IP20;;Band;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_1405;"Внутреннее освещение/Люстры";"Alfa 1405 Band";"<p>Диаметр: 740 mm<br /> Высота: 170 mm<br /> 2 x E27 max 60W</p>";1693,44;1354,75;1608,77;13%N;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;17;;;74;;;;2;;;IP20;;Band;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_14274;"Внутреннее освещение/Люстры";"Alfa 14274 Nelly satin";"<p>Диаметр: 450 mm<br /> Высота: 200 mm<br /> 3 x E14 max 40W</p>";1936,87;1549,5;1936,87;42;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;20;;45;45;;;;3;;;IP20;;"Nelly satin";;;Металл;"4-6 недели";"Alfa (Польша)"
